address,exclusion_reason,sources
0x9cbb1e5ae085c94a61d0d66e47625e6e3b415661,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xd929d28090342f1c92c60a4a4bc6b038580a0df5,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xd70c098faf74a60542817fbc8644f54a6be0dec4,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x960d86b400f3dfe8fa1f4f4adae8a769399e97ca,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0x27c115f0d823973743a5046139806adce5e9cfd5,sources/exclude/ever-slashed.csv,sources/stake-cat-rocketpool-solo-stakers.csv
0xf4649f3a7ed67247e933959cdf6e38eff20b97a7,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x84f31c57e02874aec891f8f8e017f47d9b4015c9,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x0cfe3b13dc08dfd36616c110afab7dd939b6fd85,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xea35a7019a663a11577584a8c28a6ec6640ce4a3,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x20ba6d58f5b33f444f006dd841b60a57f72f272e,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x73bbad0a61204fdc4b58e82626eb1180517bb2a2,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xda45433973c4f4cfb10936de31755ca28a267037,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0xc54e7c7c1d9257cd525ed2c49eab7a72a82013c6,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x0396dd6acc42ce2f0733e2e6fed7cd157ec930c1,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x8cf07ac011d6c39fc28f6a946df192a85eb3a723,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0xb28d124da9e1a77ecf8ee8a29ceb9baee5542c92,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x0787d902d5484dd1260b74fe02439f1b2abb64ed,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xfde449d472b9e2c796e8a8c672be37f61cf888f1,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x027e46e0f3e710a8fe0b4f3fa5eea6d456b7087b,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0x523ef13fb1d1f4a1d5e0fc5b231a74d579f2b99a,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xd335f007f24d76c0cac291540cb6207009c61237,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0xb1ca2dc4bc26ee6224811f9a801e13e5479951de,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0xb6cd2ef5da7cfc2cc3ecc15e16179ca75c68d716,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x864b5f747bdf89ed1a4e66a83eabb7d4d609f769,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x132304b56bcb486f1a35ba797a06d6d1bbaf6880,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0xffc31acd1f460d689a182688172be28e8fef4999,sources/exclude/ever-slashed.csv,sources/stake-cat-solo-stakers-B.csv
0x452c2b65b563faa563f05971ec45bf4a0976dab6,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0x1c484e1e08b9a6fd223bd328057be862b1d2f32b,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
0x1382a5b78fa79b504a95e93033a7c0d65fadcc7d,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv;sources/stake-cat-solo-stakers-B.csv
0xfcd111c801263581a600ffdc0e9aed365a76062a,sources/exclude/ever-slashed.csv,sources/rated-solo-staker.csv
