address,galxe-lido-point-holders,lido-dappnode-buyers,obol-techne-credentials-base,obol-techne-credentials-bronze,obol-techne-credentials-silver,rated-solo-staker,stake-cat-gnosischain-solo-stakers,stake-cat-rocketpool-solo-stakers,stake-cat-solo-stakers-B,csm-testnet-good-performers
0x77451445f2d3df093f0262f7eb81d57cedc80241,X,,,,X,,,,,
0x2462c818b7f8a075babc1d1188cb127c8121b2d3,X,,,X,X,,,,,
0x04ecbcb5a43080c8a854bdce5d36b15355be505a,X,,,,,,,,,
0x3254dd4c131edd9da829c5c151443bfe146609a4,X,,,,X,,,,,
0x2b43f331b7d9d2889de336d3c1d2444fd9d482ba,X,,,,,,,,,X
0xb33c9098c5ea132e7ee6d375efcdd0a42ef71ee0,X,,,,,,,,,
0x938bf2b8a7e40472d846e50b8ffe763a0fc749d4,X,,,,,,,,,
0x5dd860d037aadcf8bdb30e803dad77545027fdef,X,,,,X,,,,,
0x2b0c069f7e037912ad02f3616a1e70cc34c7ff34,X,,,,X,,,,,
0xe3e34fa93575af41bef3476236e1a3cdb3f60b85,X,,,,X,,,,,X
0x372d5ab34d594a68a01ddc78b0464add52d3a242,X,,,,,,,,,
0x47bfe37a425139faaf036b665bf3361673b19744,X,,,,,,,,,
0xbbbbb5bcf101c8ffe6de8593cd497805f9a8e4b8,X,,,,,,,,,
0x52bd084ed2258bba6500da2a0a40a2812d0ac7a2,X,,X,X,,,,,,
0x6d2166f9f5c8d20b80f9841f9c36b17b8d59458a,X,,X,X,,,,,,
0x2c4e1e7251470d5731dc7c6290befbacf91c1f80,X,,,,X,,,,,
0xdaaf3c8f3d6accdef64b814e4267d861cf546391,X,,X,X,X,,,,,
0x20f43ca7a0168476ea1c64d0cdbd02bb8cc5ca89,X,,,,,,,,,
0x1514566e164e27edc0d47f18ed653620b4fc7f5f,X,,,,,,,,,
0x143125937952fc37763cd41d44a6f436d2510952,X,,,,,,,,,
