Address	valid	invalid	pen	Attesting	Slashed	Exited	Tot	Tag
0xeAdC1D01618E3785F366db32fa451AFeDd28D5fA	225	0	0	225	0	0	225	
0xb4Ed67dB84e1612BAbeF04b339a9AC17B10dDa50	223	0	0	100	0	123	223	
0xa01F8eB880392bf2D68842f240deDC126aeEAd28	218	0	0	217	0	1	218	
0x9d4f2Cf95dC9B35eEce8998BF6f519a4ba9bE5e8	216	0	0	0	0	216	216	
0x0f6f8fbc085E7fE1004d93cEdAF3A188EF0AF698	215	0	0	190	0	25	215	
0x298f8b77639Ddaaa5A21CDEA9d4062E78033F2e7	213	0	0	213	0	0	213	
0x1e6CfDA5F47cC880A70E35dFb9E3308c71806a5e	209	0	0	209	0	0	209	
0x2358a57FB7aC5B8646a91084Ca3b454BA373649E	200	0	0	200	0	0	200	
0x2e2173497D62E058e54393243648260c858949F6	200	0	0	200	0	0	200	
0x0FC8ad8B70Df1506f30068BE949865C2d7b3b39f	200	0	0	200	0	0	200	
0x989B66142D81426dd004f3E60816B4ADECedD80b	200	0	0	200	0	0	200	
0xA62005c234e611E06e939CBAC35900dd581e7974	200	0	0	200	0	0	200	
0x87c6cD225c3E3D3b34A4ba6201FF9b38c44242fC	200	0	0	200	0	0	200	
0xB6aaa1DAd9D09d689dc6111dcc6EA2A0d641b406	200	0	0	0	0	200	200	
0xeBA395fcdf1e2047050a84786497982E7f58eae3	200	0	0	200	0	0	200	
0x22e4A4a5633AeE63752D1925669fB08f38Ed1B9E	200	0	0	200	0	0	200	
0x14a722719F260d590C110c8fE9DeF863c3Dca706	199	0	0	199	0	0	199	
0x5C76DEa9B0d0f779dF16f81e89eB3E5e93b50FB5	196	0	0	196	0	0	196	
0xB26e6f706c63E3B0985D5Ef3DcA7bca43936A73F	187	0	0	187	0	0	187	
0xEf0391ccbebf15fc84334D9630255093754cDAAB	187	0	0	0	0	187	187	
0xe108FbEc9Ae30F7d2A4d165BAa00E20B2F4452Bb	180	0	0	0	0	180	180	
0x756e9a772F87cC1B3c56E0b88f941BB3AeF0A81a	179	0	0	179	0	0	179	
0x01f9F828cc42742702373d332B75cCAD01F32e83	177	0	0	177	0	0	177	
0x719CC773c43d65eEC5B4F6987ccEf5F651409D60	172	0	0	0	0	172	172	
0x80af844a4621f60f3dC4732F4023495b09741897	167	0	0	0	0	167	167	
0x329c54289Ff5D6B7b7daE13592C6B1EDA1543eD4	166	0	0	166	0	0	166	
0x403D6286841eF002d0b4b2Ac731f331b0c1CC7F1	165	0	0	165	0	0	165	
0x9d54050cDBa29CE15A499391dcd762034C4a7B03	164	0	0	164	0	0	164	
0x29006fd3a752c84c158217B182D8F60FeE565592	162	0	0	0	0	162	162	
0xBcdcC70F37Adf29e94Bff8E36a8E4f94BA97A57E	160	0	0	160	0	0	160	
0x34bF8DcB3ed8cF8AaB57B1D8330cAb8BA5246708	160	0	0	160	0	0	160	
0x5E642f8C81DE40E7e49b6a2B606dFB94A005bC44	160	0	0	160	0	0	160	
0xfA086DEc0a4ccd427ED763da0efBbf8BE9E28b1d	156	0	0	156	0	0	156	
0x6031AD731C395C6BC0aa8B143B9BC237135225E1	155	0	0	155	0	0	155	
0x1f3D4e7Fb13B76acC14F9d237f7745d832c7F26E	154	0	0	154	0	0	154	
0x8ebdB7A13B5198D72E5727774B1441262fc1CC76	154	0	0	154	0	0	154	
0x14d8504Ba745E9D4fC38EFEa27036F2085809Ef1	153	0	0	0	0	153	153	
0xbe248f728E032668B1b53f8097162c26eC1ACF02	147	0	0	146	0	1	147	
0xfa33d59e9166C8F5341BD67DE8f63A698De6487A	145	0	0	145	0	0	145	
0xeF98BF64596c79B068f0D44E9BBF1E5Aff374cD8	141	0	0	91	0	50	141	
0x6709767B2d94De1c894b4c5EF370466BEC1498c9	141	0	0	140	0	1	141	
0xb39D022eDF05C31e1981f4F4D8137dDa9C57CFaE	139	0	0	78	0	61	139	
0x037F29ce01D56A51829B78aCb0702763D542BBeC	138	0	0	128	0	10	138	
0x4193e4cA2241d4d16356a94Da537E3C3A600678C	136	0	0	136	0	0	136	
0x1501943D0223Db29690323B99a86A6e3CeFa1AbC	135	0	0	0	0	135	135	
0xc30682cf6461208F1D002b28F585546321a77526	134	0	0	134	0	0	134	
0x2b5E8eC8AEFccf7594907aa98a53FF87aaB13943	130	0	0	130	0	0	130	
0x811C2b495389C291a0012fE2b9f4D9B465d57e4D	129	0	0	129	0	0	129	
0xB2eE5d02C888B50d2B06dC5d3e210E0580788e78	129	0	0	129	0	0	129	
0x40459e53d8a1ac761CC79a95C3db332c5BdFEfc5	128	0	0	128	0	0	128	
0xa3a3456BC0c8ce4e0a0415B619803ee96509Ce30	128	0	0	128	0	0	128	
0x5e7F8a81edece816f72D4d110882530CD82A2D2a	128	0	0	128	0	0	128	
0x5a438BD7D6C1b918b321754bb8E3F5205516De25	128	0	0	128	0	0	128	
0x47c290779F9b9BD973Ebb37f4aC22339fbc98427	128	0	0	128	0	0	128	
0xbF0E648E4e1E73ab067D10bc73D029519a26a952	128	0	0	128	0	0	128	
0xeaFe8A40c28EF9D9E89D8D5a8c0940B9966731f7	128	0	0	128	0	0	128	
0xFfFefD6e5D65c1BB132646ec844c6A8F48190619	128	0	0	128	0	0	128	
0x6078b202b24f03C146093fdB86F78cf0366b0b6D	128	0	0	128	0	0	128	
0xf947795a5c0B7c35B0401798663Bc428FB9570ec	128	0	0	128	0	0	128	
0xCC3B401d9007D206414C156768787C49169F8177	128	0	0	128	0	0	128	
0xDBe8EaeC80E059f6F06bd68dB8f9DcA9a19cC4ab	128	0	0	128	0	0	128	
0x6Fb39DB4dc84e672D305eD73b91E5078382ac0e9	128	0	0	128	0	0	128	
0xeaFe8A40c28EF9D9E89D8D5a8c0940B9966731f7	128	0	0	128	0	0	128	
0xa3a3456BC0c8ce4e0a0415B619803ee96509Ce30	128	0	0	128	0	0	128	
0x5a438BD7D6C1b918b321754bb8E3F5205516De25	128	0	0	128	0	0	128	
0xFfFefD6e5D65c1BB132646ec844c6A8F48190619	128	0	0	128	0	0	128	
0x45F9675804904a6D8116354BD9Ba74cDbDbc88CA	128	0	0	128	0	0	128	
0x87499688ac327d1B1665E1A51D4EA7DA2B03B070	128	0	0	0	0	128	128	
0xDBe8EaeC80E059f6F06bd68dB8f9DcA9a19cC4ab	128	0	0	128	0	0	128	
0x955C4418141d47C376595008735891760368cAf6	127	0	0	0	0	127	127	
0xD28a50A525A82b98A34D2eed0A0F5C7900D0954e	127	0	0	122	0	5	127	
0xc74A73576F9ca7C88C905EdcC5F0f5F339d52380	127	0	0	127	0	0	127	
0x4bFBe5263d9E4642d303d771B63392D2868E62A9	127	0	0	0	0	127	127	
0x79330aab8c32E616B4b9b177eEB72264c611118a	126	0	0	69	0	57	126	
0xE18f56C03C54F233eE97a1817bc6464f96965d5e	124	0	0	1	0	123	124	
0x2Fb30335AB0Fbc11646970E1B83b2d15e5DBE3ff	121	0	0	12	0	109	121	
0x217bD23eF77938B41033Cd48b4965ACd258CCEc6	120	0	0	93	0	27	120	
0xD74A224473d0615993269946a05D9646A8D9c0e9	120	0	0	120	0	0	120	
0x6EAA11eec98c663ba096593cc779217A7e20665a	120	0	0	120	0	0	120	
0x3A662F787168E8d856e801C75449876F4DA9208a	118	0	0	95	0	23	118	
0x0ebe6769025705b72E9ba606De4eF8E5Be936EBF	117	0	0	117	0	0	117	
0x18eE60706Ed150f6E21D020C1Cede55E4267f409	114	0	0	114	0	0	114	DappNode
0xc4b9f6B7598f59d43C220a81b5cDEDdb7f379Bba	114	0	0	114	0	0	114	
0x818854b363b90791a9eBc29e2f9c7f1055ee5A4D	113	0	0	113	0	0	113	
0xFA61Dab7115a5a3E3140f0E315d92e237e143D6d	111	0	0	111	0	0	111	
0xEfDFe841AFbd5e6147Ee172A4d655e992F29B202	110	0	0	110	0	0	110	
0xE1BB99FA82a4eaE7263EADcAB5be266d187df6Be	110	0	0	110	0	0	110	
0xA4fdE6a0dD1f4e7d00E4f7F26f5240eb15907481	110	0	0	0	0	110	110	
0x8E900Cf9BD655e34bb610f0Ef365D8d476fD7337	107	0	0	0	0	107	107	
0xCe4eE468D8cAeDB73d6BB322761BA45dadCF2A20	107	0	0	106	0	1	107	
0x293cFCbc9aAA6aFD97C25806aE6a526D3Ce2C93a	105	0	0	0	0	105	105	
0x276B198A0B682ABC5F8416101AC1988BE14d2f64	105	0	0	105	0	0	105	
0x29aa206289e127b95248Fea2500E0CC02C5024Cb	104	0	0	104	0	0	104	
0x4F034f0204bB0108FDa40B852483C3b3e7A11674	104	0	0	104	0	0	104	
0x7A8e55282fbe37facF47f2cD69D2adc65A8651b1	103	0	0	0	0	103	103	
