Sybil ID,Main NO ID,Operator ID,Address,Reason
sybil-1,224,360,0xfFFfFFfFFfB1f0854914D69bB87D5036eBB3fE61,Large-scale sybil
sybil-1,224,361,0x5555555555ADDc1ceb46B72424BbFd1Dfca6344C,Large-scale sybil
sybil-1,224,362,0x00000000000d953aac20eED47dF53d651c4e63f6,Large-scale sybil
sybil-1,224,363,0xdDddDdDDdd21DE9ef45ed6493A2746c30D37B1FA,Large-scale sybil
sybil-1,224,364,0xD1e90D1E9026EeBeD21B547A994852EbfefC4E87,Large-scale sybil
sybil-1,224,365,0xd1e90d1E9050b2BE83BE8F43AD1a533CB3D05650,Large-scale sybil
sybil-1,224,366,0xBaB1eb00B55b69c5314d06198cC9cCAe88BA4978,Large-scale sybil
sybil-1,224,367,0xD1E90d1E90f6F498bd25352DDc053e40f6DaB42E,Large-scale sybil
sybil-1,224,368,0xD1E90D1e9028fB984c2F59732842633b1C967805,Large-scale sybil
sybil-1,224,369,0xd1E90d1e9056cDa8Cf0D79304270c6fF488C0414,Large-scale sybil
sybil-1,224,370,0xAaaAaaAAaAa46E50463f846B7c12c6AB7fd60964,Large-scale sybil
sybil-1,224,371,0xd1e90d1E9034995831e9132B9323dCfBb9733bEe,Large-scale sybil
sybil-1,224,372,0xaAAAaAAaAaaA00122D1739E1cE8fe22F31ACf6C0,Large-scale sybil
sybil-1,224,373,0xffFfFfFfff4399910624F2E5A1c985D0618C1b6E,Large-scale sybil
sybil-1,224,374,0x1111111111119071A95F6B9fE0946591FE85a482,Large-scale sybil
sybil-1,224,375,0xEeeeEeEEeEe409b0F3eCE7d7Cc83e3Ad14ECF746,Large-scale sybil
sybil-1,224,376,0x5555555555554d9353160Ec7D2B8E2d4F71C9CDc,Large-scale sybil
sybil-1,224,377,0xEeeEeEeEEE4B7f64b29AaA692F8eeaF711152DB2,Large-scale sybil
sybil-1,224,378,0xd1e90D1e90181dA72DF7a8e06aB396bF6dEd66e1,Large-scale sybil
