Address,Points
0x27ac67ac8f7a06603dfea2c775be0d571eea40b3,1
0x27c6d905c4ca44ff60115045c5c4ca3eaba01c6c,10
0x27f0b7fa41a6e4617b4284138278f81281214cc1,1
0x2809c14c910f112a1288050afd45dbeaf96a89f6,38
0x286f683d1e73b17be4cf30c1ccd7634c2a7cfc58,5
0x28bdd7b78ee05361abcda75e76178c3f03f8d948,5
0x2929b126f3176d3fa3ff30c4eb7de604192ec840,1
0x295b919169dcbd9801b8c4c44be7690c10252b82,4
0x296f0ec9e1d90787adea15ee7ce1485f2104a5b6,10
0x297e3e1b23cdf212d93885cdea78fad626b31cb7,4
0x298f8b77639ddaaa5a21cdea9d4062e78033f2e7,2
0x299776620339ea8d5a4aaa2597fcf75481ada0af,11
0x29dc1319b604edb25624af593e72a555eea6fa86,5
0x29f731573b3acbd22a7c6023d9e3cc8ec758de42,6
0x2a1c974a7d01176b11cb1ee8b2ccb65400e20e2e,5
0x2aa6b8975b43842c22308314498ea642f5a1f1f5,1
0x2ad2f1999a99f6af12d4634e2c88a0891c3013e8,3
0x2af1847f961bbb02f2d2cb725749128c348a3390,5
0x2b0c069f7e037912ad02f3616a1e70cc34c7ff34,10
0x2b43f331b7d9d2889de336d3c1d2444fd9d482ba,11
0x2b45225d6985cbc2e73244f450c6a52a33d9efdf,1
0x2b5303771e86b5c1476f35e36bf8a914212ee553,5
0x2b749d044e42cf7974a3d7dac16b39b5d88fe0ce,10
0x2bc809dd2cb3864079d2d28b0ef3d54145143616,5
0x2c468548a8888398e69b594d8253d7ba0d27ee67,1
0x2c4e1e7251470d5731dc7c6290befbacf91c1f80,30
0x2c81c786d655bf44dcf1bcdc90137484637c30a4,1
0x2ce2d83897edf1c9bfa56cfd9a94a0ddd84316a5,1
0x2cfaced1bc7b2b61692bdbea50bad19981dcc41e,2
0x2d0e7bd66b14fe202133c01e0dded0029a9d4054,5
0x2d1ac80ecd9cf463bf1f94ceeb0d2d9082fc57e5,1
0x2d1e7b6e6284409e16991de76d2a82847a7d61c5,10
0x2d39a2fb708d688ee27d8be149e29ea2dbf39905,10
0x2d4b8529c1bdf9948537e00fd0a63307c9de3cb1,38
0x2d56bbe947b3e37910c0ff1f89b4ff107a70aec4,10
0x2d674857986b5c052ca1cb07b1d2ebf304e2ac5c,11
0x2d9c146486646d5d48ed493ac659a48ce5c18785,25
0x2dca1455bd95fb6fffebc1b6236f9a7580f920ed,1
0x2dde4eefe48b040c2db25617f7da204c2fcac1d2,10
0x2e0ad203eea2eca9b0a504a2cab63824ba62bbd1,1
0x2e1e1405b23c930eca359611b430d00ca1651c15,5
0x2e5e1dcac1f61fedd4f66ec62488844171ab885d,3
0x2f0ea53f92252167d658963f334a91de0824e322,9
0x2f81236befdf1586e071aa84bea1ef257fe23d1e,28
0x2f9535361cd8752389e941d92ab7e6ba5c3a1b9a,1
0x2fb07bb03427f8273d2590a022af47038da767a3,1
0x2fb1448998dbde5dabd9c27ffc8d302442cdb497,10
0x305c5e5cb4b47f84f99d560393e44bb013327365,5
0x307d792d792d6251dc7c1eddb738626956790d02,1
0x314a362729afba38ad93223ae0c5cc8da01c1514,4
