Address,Organization
0x740e74B4714e263B9AE684E084547d3fB147753d,A41
0xB6d1336e5159706B62eAb1610Ced989Bd176fd03,Liquify LTD
0xcC165987007AdA429807B7c7f29b050683bc8cb7,Liquify LTD
0x8bd8cb5aae98c811292df0f0f606cab1e6572fce,ChainLayer
0x17ec551be0f5422eb3d63b075f8b8619593b68b5,Staking4All
0x6f1Fc2A9B903FC9f0EDEf09253B24AeF5f50DD62,Imperator.co
0x82907132791365aA7B50d7BA6bdD2D1D931b121f,Staking Facilities
0x81d38529febf3ef9a88b88e7193eec1f245a7ad5,Chainode Tech
0x5C689207EDf8FF5B8af7E8C165d248BE283dcDb4,Deutsche Telekom
0x34746d9a2f883Bf6f1184d98aeA454C06e65e103,Deutsche Telekom
0x97403A22eC3D9d5eF1939F8316e3B9CeD35dDCA1,GlobalStake
0x952283C92c8D44F88411977BffC681b9Db98C6c4,F5 Nodes
0x26B61faAa5682FaEBDE5F516c4d30F7Be4a89532,01node
0xcEf78991Df18B131eED7bBf91C3C7da2e78338e5,01node
0xB2dd48d2c216304f2cF48d228547c8D9a0f07682,Cosmostation
0x749733aC8b448cc69C445902187Dd010764f8261,Validation Cloud
0xb1D235E8Bb2eBe158e41D39FD33c1397CEC42bED,Chainnodes
0xAfBD66706F90BC56D29c39A260930b34B2757ed8,Chainnodes
0xC4577454281863bb53a779169a24D6786F0A9e39,P2P
0x4491172Eecc4beF5659b0eD33459a1a7b848D447,P2P
0xa84ABc7124B1d9dA147Df30c864ffB743eA0cA30,StakingCabin
0xf3C959C61b3Ff6142A0a7a83Bcf93030ABd57a80,Encapsulate.xyz
0x2f3ccE2EEBd369f77Fca574953a05078246426Fb,Encapsulate.xyz
0x64A55574a4d8B41f08e7d86D0f5854283667Cd0b,Stakin
0x6581e05d2a4721394bb14a9fdc1d20ec1cd11807,RockX
0x258cb32b1875168858e57bb31482054e008d344e,RockX
0x7165Fd4E4545E3c1dcC22bE345C452E911e7C898,Sigma Prime
0x897dD2EAAE36Bf4Cd26be86985db8DF0a190A1F1,Staking4All
0xE14C4841d9EA8D4d4448cA8AdfA8b82726f4C497,Blockshard
0x8b529eF78046008f9d1FbC91c7407030De96EE32,Blockshard
0x225dfEe4f6388994908d79606b24B718202Eef1d,ChainLayer
0xC7996E14Fc2D5b2223Dd2B7f4Ed6cC7C8Ba37042,Launchnodes
0x65158Ab5D67E46B95a43c37124F6346FcD4841F2,Launchnodes
0xa5Ffee993b69aAFFf736fC5aB47E78fDc6d19AD5,Launchnodes
0x7170D0c24f146BD5383CeC5c1b8683E087Fd4768,Blockscape
0xC5Fcbb6b2CE2cD3cD76aAfE655CFc0dB8e91b9e0,Kukis Global
0xaF729019e862E8b0b0b2d474c57a5A8a99F4fEeC,ParaFi Technologies LLC
0xBd3874a535c8c7608Ba2bC4384c4c03d112b0D96,Foundry
0x98720c4710148c8CB99684fbdA9E04F4274fc875,Ellipfra
0x7754da93ede90930025059d7604296dcf8cea241,Colossus
0x7E94AaE0Dc144548BdcfAf970B8b357fc8af8a19,Gateway.fm AS
0xa8f710bc3Df4b38352e8c25AFd7270eB91fdf3a1,Gateway.fm AS
0x543fB881D42E01CeF9905240951c19a9A72F6D7c,Deutsche Telekom
0x3c4725258b34589785f91e1f2f4c7231d66f83d8,Chainode Tech
0x2A07740586a1C891442838B5D1021E311F6125dc,Everstake
0x0c5B4415bf1b415AcE886e2fC0a9fEEBc05E6e91,Republic Crypto
0x53B9512Eb92A3C84e90a1b87fd44973c3FF14D71,Republic Crypto
0xD5402CCAB3224b11b4256B9Cbe94A9f5b7267997,DSRV
0xd4cc1A9fd12FEf892B99A39027a765687e1e2222,DSRV
0x4DA68974e9FF1Fe5c3d9fB6f4954114FD4399C5c,01node
0xcef78991df18b131eed7bbf91c3c7da2e78338e5,01node
0x7601e911Cf3C45826B4aF5E7135D6794c7316139,Forbole
0x4015C0265515A7E5519143Ccc5B9dA6F336a4695,Forbole
0xfeef177E6168F9b7fd59e6C5b6c2d87FF398c6FD,P2P
0xcC1916a4c07fa75CD5A935D506b69e49262B85D2,Anonstake
0x9f244dA4B90F5798A2d9DF193c873048cb670ab6,Cosmostation
0xf08E22139F77506e6AaCD84184D92Cc1b79A77E4,Cosmostation
0x109B5be8Bdf8707b95e971EA635b4e0760eC5bd0,Republic Crypto
0xa62A71A868b203AA1A3E22e1b6b8BdD432b3F978,Republic Crypto
0x216cBE20c30B58a7AC548A2356F78de633dD8F17,ChainLayer
0x225dfEe4f6388994908d79606b24B718202Eef1d,ChainLayer
0x18eE60706Ed150f6E21D020C1Cede55E4267f409,DappNode
0x47f6b3b6c4C7E5A1bdA0AE6D459DbA495086fEdb,Staking4All
0xd35d1891051A420AAE5f74B2b6a80F24465FD3D1,SNC Holding B.V.
0xA2d25Dc3CC4c06662eC4a8D22b5a37342a6Bd0eb,Nodes.Guru
0x5a19995c433487c8a09E90c268A66dCE17b2e82C,Ebunker
0x95Ae2751d50f992561e0351860077D19879A5CbC,Nodeinfra
0x1007224Ec55F180Fd83e303638E80EC2930D8262,Encapsulate.xyz
0xf75b2D7497be072182b3a7C224521da937B88C07,Thunderhead
0x414c936D3243aE994E69A2Ba39B46b702f7A3a32,Piconbello
0x548CA64e4B0aA42ea59ADbdD84495a4A16c2a234,Northstake
0x0966A48Df05a1762A4b1f5A8E2B4B28c0038965f,Imperator.co
0xd5daE712629c49297327d50479c337AE13934e21,Nodeinfra
0xD25ef4330A1DfF7C8958307602eDa91BD5Aa4731,Staking4All
0x9af746410192740cba8b901adbfa43320693f283,Cryptocrew Validators
0x7f4f0da1a4f5e9f2f36ec52b5aaf1f57fbb1c14f,Cryptocrew Validators
0xd2045ff19c6b57a22ecfdbc0b90d1d8368604dd6,stakefish
0x43074dfd3eC8a26E83d067CD7F0438BDa19f4A7b,stakefish
0x5AEEB064E6210a96D13Fe88EeDDE1BeB43f069f9,Kukis Global
0x0b213732F50365A66D6296bB30fD34663d1fd6A9,Attestant
0x7b1660682078fe0eFD9310e8EFe32Cb93a0417bc,LinkPool
0xB6D53439e7A329418c0a4Eb71CD04b6D28240B40,Provalidator
0x69cA404ABE8c3002831a1251da7445B111537708,ContributionDAO
0xc67d25408FB006e8902134DF2F77f43Df99c17dB,Cryptocrew Validators
0x03619865d57E8DDF248B26f7A64c83A9E49DacAB,Nethermind
0x7FF1669feE470ad46d50E0e57E2dFcF4F1Cd4591,Nethermind
0x859F56f44b744de0242516b1c938e666292F688f,RockLogic GmbH
0x670DC207d465e441f6F20A0d469DcA429f4aB21F,Cosmostation
0x3c385Cd0eE6fc17f49c4Bc900B8652c402704b38,XHash
